工作日 273 天，快取於 C:\Users\施伯承\Desktop\Claude\taiwan-flow-live-v2\backtest\cache
[1/273] 2025-06-16 price=2190 inst=2019
[2/273] 2025-06-17 price=2190 inst=2013
[3/273] 2025-06-18 price=2191 inst=2020
[4/273] 2025-06-19 price=2190 inst=2025
[5/273] 2025-06-20 price=2190 inst=2023
[6/273] 2025-06-23 price=2191 inst=2018
[7/273] 2025-06-24 price=2191 inst=2021
[8/273] 2025-06-25 price=2191 inst=1989
[9/273] 2025-06-26 price=2191 inst=2022
[10/273] 2025-06-27 price=2191 inst=2012
[11/273] 2025-06-30 price=2192 inst=2017
[12/273] 2025-07-01 price=2192 inst=2005
[13/273] 2025-07-02 price=2192 inst=1979
[14/273] 2025-07-03 price=2191 inst=2009
[15/273] 2025-07-04 price=2191 inst=2016
[16/273] 2025-07-07 price=2191 inst=1985
[17/273] 2025-07-08 price=2191 inst=1995
[18/273] 2025-07-09 price=2191 inst=1963
[19/273] 2025-07-10 price=2191 inst=1985
[20/273] 2025-07-11 price=2191 inst=1994
[21/273] 2025-07-14 price=2190 inst=1992
[22/273] 2025-07-15 price=2190 inst=1994
[23/273] 2025-07-16 price=2191 inst=2002
[24/273] 2025-07-17 price=2191 inst=2010
[25/273] 2025-07-18 price=2191 inst=1995
[26/273] 2025-07-21 price=2192 inst=1982
[27/273] 2025-07-22 price=2192 inst=2000
[28/273] 2025-07-23 price=2192 inst=1987
[29/273] 2025-07-24 price=2195 inst=1995
[30/273] 2025-07-25 price=2195 inst=1990
[31/273] 2025-07-28 price=2193 inst=1997
[32/273] 2025-07-29 price=2194 inst=2007
[33/273] 2025-07-30 price=2194 inst=1985
[34/273] 2025-07-31 price=2193 inst=2005
[35/273] 2025-08-01 price=2193 inst=2019
[36/273] 2025-08-04 price=2194 inst=2004
[37/273] 2025-08-05 price=2193 inst=2041
[38/273] 2025-08-06 price=2193 inst=2032
[39/273] 2025-08-07 price=2193 inst=2033
[40/273] 2025-08-08 price=2193 inst=2023
[41/273] 2025-08-11 price=2194 inst=2023
