date,o0900,p10,c1330,hi_am,lo_am
2005-01-03,6139.69,6158.71,6143.12,6183.15,6138.47
2005-01-04,6143.12,6085.98,6060.46,6143.12,6088.77
2005-01-05,6060.46,6021.15,5988.37,6060.46,5998.28
2005-01-06,5988.37,5991.66,5982.12,6002.2,5971.58
2005-01-07,5982.12,5940.33,5935.99,6007.34,5947.3
2005-01-10,5935.99,5952.96,5942.85,5962.64,5929.11
2005-01-11,5942.85,5944.92,5975.66,5963.98,5942.14
2005-01-12,5975.66,5952.56,5879.08,5978.41,5950.77
2005-01-13,5879.08,5906.13,5853.94,5921.93,5879.08
2005-01-14,5853.94,5853.76,5889.52,5865.94,5813.15
2005-01-17,5889.52,5943.84,5945.27,5960.54,5889.52
2005-01-18,5945.27,5942.37,5933.57,5964.08,5939.79
2005-01-19,5933.57,5899.71,5895.35,5961.78,5906.08
2005-01-20,5895.35,5886.54,5888.1,5895.35,5835.68
2005-01-21,5888.1,5862.44,5848.91,5898.86,5851.15
2005-01-24,5848.91,5840.51,5771.48,5862.62,5822.06
2005-01-25,5771.48,5785.47,5782.75,5796.18,5759.21
2005-01-26,5782.75,5825.72,5835.37,5835.3,5782.75
2005-01-27,5835.37,5821.58,5842.76,5855.58,5821.3
2005-01-28,5842.76,5839.81,5879.93,5856.08,5836.47
2005-01-31,5879.93,5944.29,5994.23,5944.47,5879.93
2005-02-01,5994.23,5989.92,5981.54,6015.78,5979.92
2005-02-02,5981.54,6059.16,6018.69,6061.25,5981.54
2005-02-03,6018.69,6022.51,6034.6,6034.04,6006.23
2005-02-14,6034.6,6116.66,6112.4,6148.95,6034.6
2005-02-15,6112.4,6112.0,6122.39,6142.44,6109.06
2005-02-16,6122.39,6096.46,6143.49,6134.53,6086.3
2005-02-17,6143.49,6115.27,6072.16,6143.49,6097.2
2005-02-18,6072.16,6104.89,6115.43,6102.25,6062.96
2005-02-21,6115.43,6146.64,6142.78,6169.42,6115.43
2005-02-22,6142.78,6120.25,6107.17,6161.0,6115.63
2005-02-23,6107.17,6061.92,6121.52,6107.17,6061.14
2005-02-24,6121.52,6143.4,6128.34,6152.09,6109.9
2005-02-25,6128.34,6196.19,6207.83,6223.16,6128.34
2005-03-01,6207.83,6222.32,6259.69,6231.29,6207.78
2005-03-02,6259.69,6265.72,6225.25,6267.52,6240.87
2005-03-03,6225.25,6187.27,6202.38,6225.25,6164.15
2005-03-04,6202.38,6194.07,6193.62,6209.92,6178.26
